="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)",="(10)",="(11)",="(12)",="(13)",="(14)",="(15)",="(16)",="(17)",="(18)",="(19)",="(20)",="(21)"
="",="(0.029)",="(0.029)",="(0.038)",="(0.040)",="(0.049)",="(0.049)",="(0.054)",="(0.057)",="(0.064)",="(0.063)",="(0.072)",="(0.065)",="(0.075)",="(0.066)",="(0.078)",="(0.072)",="(0.083)",="(0.074)",="(0.087)",="(0.077)",="(0.091)"
="L3_factor_sent1_best_filter",="0.038",="0.021",="-0.006",="-0.006",="-0.027",="0.006",="0.007",="-0.003",="-0.018",="-0.018",="0.018",="0.013",="-0.021",="-0.025",="-0.038",="-0.004",="-0.048",="-0.042",="-0.061",="-0.065",="-0.038"
="",="(0.027)",="(0.026)",="(0.038)",="(0.038)",="(0.050)",="(0.049)",="(0.055)",="(0.054)",="(0.056)",="(0.058)",="(0.060)",="(0.062)",="(0.063)",="(0.068)",="(0.067)",="(0.073)",="(0.070)",="(0.078)",="(0.072)",="(0.082)",="(0.077)"
="L4_factor_sent1_best_filter",="-0.041",="-0.063**",="-0.042",="-0.071*",="-0.025",="-0.012",="-0.029",="-0.049",="-0.058",="-0.037",="-0.053",="-0.080",="-0.088",="-0.084",="-0.042",="-0.037",="-0.024",="-0.035",="-0.052",="-0.019",="-0.019"
="",="(0.026)",="(0.027)",="(0.038)",="(0.037)",="(0.047)",="(0.043)",="(0.054)",="(0.048)",="(0.059)",="(0.054)",="(0.064)",="(0.060)",="(0.070)",="(0.062)",="(0.074)",="(0.065)",="(0.079)",="(0.068)",="(0.081)",="(0.072)",="(0.084)"
="L5_factor_sent1_best_filter",="0.039",="0.079***",="0.030",="0.079**",="0.112**",="0.085*",="0.074",="0.060",="0.072",="0.060",="0.063",="0.060",="0.059",="0.107*",="0.124*",="0.117*",="0.106",="0.094",="0.148*",="0.155**",="0.158*"
="",="(0.027)",="(0.027)",="(0.037)",="(0.037)",="(0.045)",="(0.043)",="(0.049)",="(0.049)",="(0.054)",="(0.054)",="(0.060)",="(0.058)",="(0.066)",="(0.063)",="(0.068)",="(0.069)",="(0.072)",="(0.073)",="(0.078)",="(0.076)",="(0.084)"
="L6_factor_sent1_best_filter",="-0.007",="-0.075***",="-0.059",="-0.042",="-0.060",="-0.080*",="-0.110**",="-0.094*",="-0.102*",="-0.104*",="-0.124**",="-0.147**",="-0.111*",="-0.090",="-0.081",="-0.097",="-0.153*",="-0.144*",="-0.170**",="-0.174**",="-0.190**"
="",="(0.029)",="(0.028)",="(0.040)",="(0.040)",="(0.048)",="(0.048)",="(0.052)",="(0.056)",="(0.056)",="(0.063)",="(0.061)",="(0.068)",="(0.067)",="(0.072)",="(0.076)",="(0.076)",="(0.079)",="(0.083)",="(0.085)",="(0.088)",="(0.090)"
="L7_factor_sent1_best_filter",="-0.067**",="-0.089***",="-0.046",="-0.042",="-0.045",="-0.020",="-0.048",="-0.070",="-0.042",="-0.053",="-0.059",="-0.037",="-0.042",="-0.083",="-0.135",="-0.176**",="-0.153",="-0.144",="-0.139",="-0.157",="-0.188*"
="",="(0.031)",="(0.031)",="(0.044)",="(0.042)",="(0.054)",="(0.052)",="(0.063)",="(0.058)",="(0.070)",="(0.067)",="(0.080)",="(0.073)",="(0.086)",="(0.076)",="(0.091)",="(0.083)",="(0.100)",="(0.089)",="(0.107)",="(0.096)",="(0.114)"
="L8_factor_sent1_best_filter",="-0.011",="0.038",="0.042",="0.040",="0.045",="0.040",="0.063",="0.099*",="0.079",="0.084",="0.100",="0.102",="0.080",="0.060",="0.062",="0.096",="0.110",="0.124",="0.141*",="0.121",="0.099"
="",="(0.029)",="(0.028)",="(0.040)",="(0.043)",="(0.049)",="(0.053)",="(0.054)",="(0.059)",="(0.064)",="(0.071)",="(0.072)",="(0.075)",="(0.073)",="(0.072)",="(0.073)",="(0.077)",="(0.077)",="(0.082)",="(0.080)",="(0.091)",="(0.087)"
="L1_returns",="0.010",="-0.014",="-0.018",="-0.017",="-0.032*",="-0.054***",="-0.041**",="-0.026",="-0.012",="0.010",="0.007",="0.022",="0.051*",="0.059**",="0.075**",="0.086***",="0.110***",="0.105***",="0.113***",="0.123***",="0.136***"
="",="(0.011)",="(0.011)",="(0.015)",="(0.016)",="(0.017)",="(0.019)",="(0.019)",="(0.021)",="(0.021)",="(0.024)",="(0.025)",="(0.027)",="(0.028)",="(0.027)",="(0.030)",="(0.028)",="(0.033)",="(0.031)",="(0.036)",="(0.032)",="(0.039)"
="L2_returns",="-0.022**",="-0.030***",="-0.033**",="-0.044***",="-0.060***",="-0.049***",="-0.033*",="-0.021",="-0.003",="-0.010",="0.007",="0.036",="0.046*",="0.065**",="0.073***",="0.097***",="0.092***",="0.094***",="0.098***",="0.112***",="0.109***"
="",="(0.010)",="(0.010)",="(0.014)",="(0.014)",="(0.018)",="(0.017)",="(0.020)",="(0.020)",="(0.023)",="(0.023)",="(0.026)",="(0.025)",="(0.027)",="(0.027)",="(0.027)",="(0.030)",="(0.029)",="(0.032)",="(0.031)",="(0.035)",="(0.032)"
="L3_returns",="-0.014",="-0.024**",="-0.030**",="-0.041***",="-0.032*",="-0.023",="-0.005",="0.020",="0.013",="0.029",="0.057**",="0.067***",="0.089***",="0.100***",="0.121***",="0.114***",="0.114***",="0.126***",="0.140***",="0.141***",="0.158***"
="",="(0.010)",="(0.010)",="(0.013)",="(0.014)",="(0.017)",="(0.016)",="(0.019)",="(0.019)",="(0.022)",="(0.021)",="(0.025)",="(0.023)",="(0.027)",="(0.024)",="(0.029)",="(0.025)",="(0.031)",="(0.027)",="(0.035)",="(0.029)",="(0.038)"
="L4_returns",="0.003",="-0.013",="-0.024*",="-0.013",="-0.003",="0.015",="0.042**",="0.038*",="0.053**",="0.082***",="0.090***",="0.112***",="0.117***",="0.140***",="0.134***",="0.140***",="0.150***",="0.166***",="0.171***",="0.182***",="0.191***"
="",="(0.009)",="(0.010)",="(0.013)",="(0.014)",="(0.015)",="(0.016)",="(0.019)",="(0.019)",="(0.022)",="(0.022)",="(0.024)",="(0.025)",="(0.025)",="(0.028)",="(0.026)",="(0.030)",="(0.028)",="(0.033)",="(0.031)",="(0.036)",="(0.032)"
="L5_returns",="-0.009",="-0.022**",="-0.014",="0.003",="0.020",="0.038**",="0.033*",="0.051***",="0.076***",="0.085***",="0.102***",="0.106***",="0.128***",="0.122***",="0.125***",="0.137***",="0.157***",="0.159***",="0.172***",="0.187***",="0.197***"
="",="(0.009)",="(0.009)",="(0.013)",="(0.012)",="(0.015)",="(0.016)",="(0.018)",="(0.019)",="(0.021)",="(0.021)",="(0.023)",="(0.022)",="(0.026)",="(0.024)",="(0.029)",="(0.025)",="(0.032)",="(0.027)",="(0.035)",="(0.028)",="(0.039)"
="L6_returns",="-0.017**",="-0.007",="0.011",="0.026**",="0.049***",="0.041***",="0.056***",="0.082***",="0.090***",="0.109***",="0.115***",="0.135***",="0.128***",="0.131***",="0.141***",="0.154***",="0.158***",="0.165***",="0.181***",="0.188***",="0.207***"
="",="(0.008)",="(0.008)",="(0.012)",="(0.012)",="(0.015)",="(0.015)",="(0.018)",="(0.018)",="(0.020)",="(0.020)",="(0.022)",="(0.022)",="(0.023)",="(0.025)",="(0.025)",="(0.028)",="(0.027)",="(0.031)",="(0.029)",="(0.033)",="(0.031)"
="L7_returns",="0.010",="0.026***",="0.040***",="0.060***",="0.050***",="0.063***",="0.086***",="0.089***",="0.103***",="0.115***",="0.132***",="0.131***",="0.136***",="0.148***",="0.164***",="0.171***",="0.176***",="0.191***",="0.193***",="0.212***",="0.214***"
="",="(0.008)",="(0.008)",="(0.012)",="(0.013)",="(0.015)",="(0.015)",="(0.019)",="(0.017)",="(0.020)",="(0.018)",="(0.022)",="(0.019)",="(0.024)",="(0.021)",="(0.028)",="(0.022)",="(0.031)",="(0.024)",="(0.032)",="(0.025)",="(0.033)"
="L8_returns",="0.012",="0.027***",="0.050***",="0.040***",="0.057***",="0.082***",="0.089***",="0.107***",="0.117***",="0.139***",="0.137***",="0.140***",="0.153***",="0.167***",="0.168***",="0.169***",="0.191***",="0.202***",="0.221***",="0.221***",="0.235***"
