="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)",="(10)",="(11)",="(12)",="(13)",="(14)",="(15)",="(16)",="(17)",="(18)",="(19)",="(20)",="(21)"
="",="(0.027)",="(0.028)",="(0.037)",="(0.037)",="(0.046)",="(0.045)",="(0.050)",="(0.053)",="(0.059)",="(0.058)",="(0.065)",="(0.058)",="(0.066)",="(0.059)",="(0.068)",="(0.064)",="(0.072)",="(0.067)",="(0.077)",="(0.069)",="(0.080)"
="L3_factor_sent1_best_filter",="0.039",="0.007",="-0.035",="-0.038",="-0.065",="-0.032",="-0.042",="-0.065",="-0.069",="-0.073",="-0.034",="-0.053",="-0.081",="-0.093",="-0.113*",="-0.077",="-0.112*",="-0.116*",="-0.142**",="-0.150**",="-0.120*"
="",="(0.026)",="(0.025)",="(0.036)",="(0.035)",="(0.046)",="(0.045)",="(0.052)",="(0.048)",="(0.052)",="(0.052)",="(0.054)",="(0.055)",="(0.057)",="(0.060)",="(0.061)",="(0.064)",="(0.063)",="(0.069)",="(0.065)",="(0.072)",="(0.069)"
="L4_factor_sent1_best_filter",="-0.053**",="-0.075***",="-0.057",="-0.092***",="-0.036",="-0.036",="-0.062",="-0.073*",="-0.087*",="-0.057",="-0.093",="-0.114**",="-0.126**",="-0.123**",="-0.081",="-0.079",="-0.076",="-0.094",="-0.110",="-0.071",="-0.088"
="",="(0.025)",="(0.026)",="(0.035)",="(0.034)",="(0.044)",="(0.040)",="(0.049)",="(0.044)",="(0.053)",="(0.049)",="(0.057)",="(0.053)",="(0.062)",="(0.056)",="(0.066)",="(0.059)",="(0.069)",="(0.061)",="(0.072)",="(0.065)",="(0.074)"
="L5_factor_sent1_best_filter",="0.032",="0.066**",="0.019",="0.077**",="0.105***",="0.076*",="0.074",="0.059",="0.082*",="0.053",="0.072",="0.071",="0.060",="0.117**",="0.132**",="0.124**",="0.105",="0.086",="0.138**",="0.126*",="0.138*"
="",="(0.026)",="(0.026)",="(0.034)",="(0.035)",="(0.040)",="(0.041)",="(0.045)",="(0.047)",="(0.050)",="(0.050)",="(0.054)",="(0.054)",="(0.058)",="(0.058)",="(0.060)",="(0.063)",="(0.064)",="(0.067)",="(0.068)",="(0.069)",="(0.073)"
="L6_factor_sent1_best_filter",="-0.003",="-0.061**",="-0.028",="-0.010",="-0.017",="-0.027",="-0.058",="-0.029",="-0.061",="-0.044",="-0.060",="-0.085",="-0.032",="-0.022",="-0.009",="-0.046",="-0.094",="-0.071",="-0.102",="-0.086",="-0.099"
="",="(0.027)",="(0.028)",="(0.038)",="(0.038)",="(0.044)",="(0.045)",="(0.049)",="(0.052)",="(0.052)",="(0.057)",="(0.056)",="(0.061)",="(0.061)",="(0.064)",="(0.068)",="(0.066)",="(0.072)",="(0.071)",="(0.076)",="(0.075)",="(0.080)"
="L7_factor_sent1_best_filter",="-0.046",="-0.055*",="-0.003",="0.012",="0.006",="0.016",="0.001",="-0.037",="0.011",="-0.001",="-0.005",="0.015",="0.013",="-0.029",="-0.087",="-0.102",="-0.076",="-0.056",="-0.036",="-0.062",="-0.066"
="",="(0.029)",="(0.030)",="(0.041)",="(0.040)",="(0.051)",="(0.049)",="(0.057)",="(0.053)",="(0.064)",="(0.062)",="(0.071)",="(0.066)",="(0.075)",="(0.069)",="(0.079)",="(0.075)",="(0.085)",="(0.080)",="(0.090)",="(0.085)",="(0.094)"
="L8_factor_sent1_best_filter",="-0.002",="0.048*",="0.047",="0.034",="0.027",="0.032",="0.046",="0.097*",="0.073",="0.080",="0.098",="0.111*",="0.078",="0.062",="0.071",="0.094",="0.109",="0.120*",="0.137*",="0.138*",="0.106"
="",="(0.027)",="(0.027)",="(0.038)",="(0.039)",="(0.046)",="(0.048)",="(0.051)",="(0.053)",="(0.062)",="(0.063)",="(0.069)",="(0.066)",="(0.067)",="(0.063)",="(0.067)",="(0.065)",="(0.069)",="(0.071)",="(0.074)",="(0.078)",="(0.081)"
="L1_returns",="-0.011",="-0.037***",="-0.046***",="-0.045***",="-0.061***",="-0.082***",="-0.067***",="-0.051***",="-0.040**",="-0.025",="-0.027",="-0.012",="0.014",="0.020",="0.036",="0.046*",="0.063**",="0.058**",="0.061**",="0.070***",="0.082**"
="",="(0.009)",="(0.009)",="(0.013)",="(0.013)",="(0.015)",="(0.016)",="(0.017)",="(0.018)",="(0.019)",="(0.021)",="(0.022)",="(0.022)",="(0.024)",="(0.023)",="(0.026)",="(0.024)",="(0.030)",="(0.025)",="(0.031)",="(0.027)",="(0.033)"
="L2_returns",="-0.024***",="-0.038***",="-0.042***",="-0.054***",="-0.070***",="-0.058***",="-0.043**",="-0.032**",="-0.022",="-0.028",="-0.012",="0.014",="0.022",="0.041*",="0.048**",="0.066***",="0.061**",="0.059**",="0.063**",="0.077***",="0.080***"
="",="(0.009)",="(0.009)",="(0.013)",="(0.012)",="(0.016)",="(0.015)",="(0.017)",="(0.017)",="(0.020)",="(0.019)",="(0.022)",="(0.021)",="(0.024)",="(0.023)",="(0.023)",="(0.025)",="(0.025)",="(0.027)",="(0.026)",="(0.029)",="(0.028)"
="L3_returns",="-0.016*",="-0.026***",="-0.034***",="-0.047***",="-0.038***",="-0.027*",="-0.012",="0.005",="-0.000",="0.016",="0.041**",="0.049**",="0.071***",="0.081***",="0.096***",="0.088***",="0.086***",="0.096***",="0.112***",="0.116***",="0.132***"
="",="(0.009)",="(0.009)",="(0.011)",="(0.012)",="(0.014)",="(0.014)",="(0.016)",="(0.017)",="(0.019)",="(0.019)",="(0.021)",="(0.020)",="(0.022)",="(0.021)",="(0.025)",="(0.022)",="(0.026)",="(0.024)",="(0.029)",="(0.025)",="(0.031)"
="L4_returns",="0.000",="-0.017**",="-0.031***",="-0.017",="-0.005",="0.008",="0.026",="0.022",="0.038**",="0.063***",="0.070***",="0.092***",="0.096***",="0.115***",="0.108***",="0.111***",="0.121***",="0.137***",="0.143***",="0.152***",="0.162***"
="",="(0.008)",="(0.009)",="(0.012)",="(0.012)",="(0.013)",="(0.014)",="(0.017)",="(0.017)",="(0.019)",="(0.019)",="(0.021)",="(0.021)",="(0.022)",="(0.024)",="(0.023)",="(0.025)",="(0.024)",="(0.028)",="(0.027)",="(0.030)",="(0.028)"
="L5_returns",="-0.011",="-0.025***",="-0.014",="0.004",="0.016",="0.027*",="0.024",="0.039**",="0.061***",="0.070***",="0.088***",="0.091***",="0.108***",="0.100***",="0.102***",="0.111***",="0.129***",="0.133***",="0.143***",="0.158***",="0.167***"
="",="(0.008)",="(0.008)",="(0.011)",="(0.011)",="(0.013)",="(0.014)",="(0.015)",="(0.016)",="(0.018)",="(0.018)",="(0.020)",="(0.019)",="(0.022)",="(0.020)",="(0.024)",="(0.021)",="(0.027)",="(0.023)",="(0.029)",="(0.025)",="(0.032)"
="L6_returns",="-0.013*",="-0.001",="0.017*",="0.028***",="0.041***",="0.036***",="0.049***",="0.072***",="0.079***",="0.098***",="0.104***",="0.119***",="0.111***",="0.112***",="0.119***",="0.132***",="0.139***",="0.147***",="0.162***",="0.169***",="0.184***"
="",="(0.007)",="(0.008)",="(0.010)",="(0.011)",="(0.013)",="(0.013)",="(0.016)",="(0.016)",="(0.018)",="(0.017)",="(0.019)",="(0.019)",="(0.020)",="(0.021)",="(0.021)",="(0.023)",="(0.024)",="(0.026)",="(0.025)",="(0.027)",="(0.027)"
="L7_returns",="0.011",="0.029***",="0.038***",="0.051***",="0.044***",="0.057***",="0.077***",="0.081***",="0.094***",="0.103***",="0.118***",="0.115***",="0.116***",="0.126***",="0.142***",="0.152***",="0.157***",="0.172***",="0.176***",="0.190***",="0.189***"
="",="(0.007)",="(0.007)",="(0.011)",="(0.011)",="(0.013)",="(0.014)",="(0.016)",="(0.016)",="(0.017)",="(0.016)",="(0.020)",="(0.017)",="(0.021)",="(0.018)",="(0.024)",="(0.020)",="(0.026)",="(0.021)",="(0.027)",="(0.023)",="(0.029)"
="L8_returns",="0.012*",="0.023***",="0.038***",="0.031***",="0.045***",="0.068***",="0.073***",="0.089***",="0.096***",="0.114***",="0.110***",="0.109***",="0.121***",="0.133***",="0.136***",="0.136***",="0.157***",="0.166***",="0.181***",="0.178***",="0.191***"
="",="(0.007)",="(0.008)",="(0.011)",="(0.011)",="(0.014)",="(0.014)",="(0.016)",="(0.016)",="(0.016)",="(0.018)",="(0.017)",="(0.019)",="(0.018)",="(0.022)",="(0.020)",="(0.024)",="(0.021)",="(0.026)",="(0.023)",="(0.029)",="(0.026)"
="F0_d_returns_h",="12.763***",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="(0.795)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="F0_d_returns_l",="-11.041***",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="(0.653)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="L1_vlm_ma60_adj",="0.031",="0.073***",="0.099***",="0.072**",="0.078**",="0.083**",="0.089**",="0.104***",="0.141***",="0.165***",="0.191***",="0.223***",="0.212***",="0.221***",="0.233***",="0.216***",="0.245***",="0.241***",="0.239***",="0.264***",="0.260***"
="",="(0.022)",="(0.020)",="(0.031)",="(0.028)",="(0.035)",="(0.033)",="(0.039)",="(0.039)",="(0.041)",="(0.044)",="(0.046)",="(0.046)",="(0.048)",="(0.051)",="(0.057)",="(0.053)",="(0.058)",="(0.058)",="(0.061)",="(0.065)",="(0.066)"
="L2_vlm_ma60_adj",="0.038*",="0.056***",="0.027",="0.045*",="0.048",="0.060*",="0.076*",="0.101***",="0.121***",="0.123***",="0.148***",="0.141***",="0.153***",="0.160***",="0.144***",="0.167***",="0.147***",="0.159***",="0.177***",="0.164**",="0.162**"
="",="(0.020)",="(0.020)",="(0.029)",="(0.027)",="(0.035)",="(0.032)",="(0.039)",="(0.037)",="(0.043)",="(0.045)",="(0.048)",="(0.048)",="(0.051)",="(0.055)",="(0.054)",="(0.057)",="(0.057)",="(0.060)",="(0.063)",="(0.065)",="(0.064)"
="L3_vlm_ma60_adj",="0.003",="-0.030",="-0.028",="-0.030",="-0.017",="-0.008",="0.008",="0.030",="0.025",="0.044",="0.034",="0.032",="0.024",="0.010",="0.038",="0.020",="0.028",="0.038",="0.023",="0.010",="-0.011"
="",="(0.021)",="(0.020)",="(0.028)",="(0.025)",="(0.033)",="(0.031)",="(0.037)",="(0.037)",="(0.044)",="(0.040)",="(0.046)",="(0.044)",="(0.052)",="(0.047)",="(0.053)",="(0.049)",="(0.056)",="(0.056)",="(0.061)",="(0.059)",="(0.060)"
="L4_vlm_ma60_adj",="-0.039**",="-0.034*",="-0.027",="-0.012",="-0.004",="0.020",="0.049",="0.050",="0.066",="0.058",="0.057",="0.053",="0.044",="0.071",="0.050",="0.054",="0.069",="0.064",="0.061",="0.043",="0.071"
="",="(0.019)",="(0.019)",="(0.025)",="(0.025)",="(0.031)",="(0.031)",="(0.037)",="(0.040)",="(0.041)",="(0.042)",="(0.043)",="(0.049)",="(0.046)",="(0.051)",="(0.048)",="(0.055)",="(0.054)",="(0.061)",="(0.057)",="(0.062)",="(0.058)"
="L5_vlm_ma60_adj",="0.015",="0.010",="0.019",="0.037",="0.056*",="0.086***",="0.087**",="0.115***",="0.108***",="0.102***",="0.090*",="0.089**",="0.122**",="0.107**",="0.115**",="0.135***",="0.121**",="0.121**",="0.103*",="0.122**",="0.101"
