="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)",="(10)",="(11)",="(12)",="(13)",="(14)",="(15)",="(16)",="(17)",="(18)",="(19)",="(20)",="(21)"
="L3_factor_sent1_best_filter",="0.041",="-0.021",="-0.084**",="-0.097**",="-0.121**",="-0.102**",="-0.120**",="-0.173***",="-0.155**",="-0.170***",="-0.126*",="-0.166**",="-0.188***",="-0.216***",="-0.252***",="-0.208***",="-0.228***",="-0.254***",="-0.286***",="-0.309***",="-0.275***"
="",="(0.031)",="(0.031)",="(0.043)",="(0.042)",="(0.053)",="(0.051)",="(0.060)",="(0.056)",="(0.064)",="(0.061)",="(0.066)",="(0.065)",="(0.070)",="(0.068)",="(0.075)",="(0.070)",="(0.078)",="(0.078)",="(0.081)",="(0.078)",="(0.086)"
="L4_factor_sent1_best_filter",="-0.083***",="-0.107***",="-0.092**",="-0.123***",="-0.069",="-0.086*",="-0.130**",="-0.126**",="-0.149**",="-0.108*",="-0.176***",="-0.183***",="-0.201***",="-0.204***",="-0.163**",="-0.158**",="-0.184**",="-0.207***",="-0.227***",="-0.176**",="-0.228***"
="",="(0.029)",="(0.031)",="(0.042)",="(0.041)",="(0.051)",="(0.049)",="(0.056)",="(0.056)",="(0.061)",="(0.061)",="(0.067)",="(0.064)",="(0.069)",="(0.068)",="(0.073)",="(0.072)",="(0.077)",="(0.075)",="(0.080)",="(0.080)",="(0.083)"
="L5_factor_sent1_best_filter",="0.010",="0.037",="0.006",="0.068",="0.084*",="0.051",="0.070",="0.051",="0.094",="0.037",="0.083",="0.085",="0.052",="0.123*",="0.138*",="0.115",="0.093",="0.053",="0.108",="0.059",="0.089"
="",="(0.032)",="(0.032)",="(0.041)",="(0.043)",="(0.048)",="(0.051)",="(0.056)",="(0.058)",="(0.062)",="(0.062)",="(0.066)",="(0.067)",="(0.069)",="(0.071)",="(0.072)",="(0.076)",="(0.076)",="(0.080)",="(0.078)",="(0.082)",="(0.084)"
="L6_factor_sent1_best_filter",="0.006",="-0.026",="0.030",="0.041",="0.056",="0.070",="0.039",="0.082",="0.010",="0.065",="0.052",="0.027",="0.105",="0.106",="0.116",="0.048",="0.012",="0.059",="0.020",="0.069",="0.064"
="",="(0.033)",="(0.035)",="(0.044)",="(0.046)",="(0.051)",="(0.057)",="(0.057)",="(0.064)",="(0.063)",="(0.068)",="(0.068)",="(0.071)",="(0.070)",="(0.074)",="(0.076)",="(0.075)",="(0.081)",="(0.079)",="(0.083)",="(0.083)",="(0.085)"
="L7_factor_sent1_best_filter",="-0.006",="0.002",="0.061",="0.097**",="0.091",="0.079",="0.076",="0.007",="0.109",="0.087",="0.089",="0.100",="0.100",="0.064",="-0.005",="0.034",="0.065",="0.102",="0.144",="0.110",="0.158*"
="",="(0.035)",="(0.037)",="(0.049)",="(0.049)",="(0.062)",="(0.060)",="(0.068)",="(0.065)",="(0.074)",="(0.074)",="(0.076)",="(0.075)",="(0.081)",="(0.081)",="(0.083)",="(0.086)",="(0.088)",="(0.091)",="(0.092)",="(0.092)",="(0.094)"
