="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)",="(10)",="(11)",="(12)",="(13)",="(14)",="(15)",="(16)",="(17)",="(18)",="(19)",="(20)",="(21)"
="",="(0.025)",="(0.024)",="(0.034)",="(0.034)",="(0.043)",="(0.041)",="(0.049)",="(0.047)",="(0.056)",="(0.051)",="(0.064)",="(0.055)",="(0.067)",="(0.057)",="(0.068)",="(0.061)",="(0.073)",="(0.063)",="(0.079)",="(0.066)",="(0.082)"
="L3_factor_sent1_best_filter",="0.049**",="0.042*",="0.023",="0.027",="0.007",="0.024",="0.028",="0.011",="-0.002",="-0.017",="0.016",="0.006",="-0.021",="-0.030",="-0.049",="-0.012",="-0.039",="-0.036",="-0.065",="-0.082",="-0.056"
="",="(0.024)",="(0.022)",="(0.033)",="(0.032)",="(0.041)",="(0.041)",="(0.047)",="(0.046)",="(0.050)",="(0.052)",="(0.053)",="(0.057)",="(0.056)",="(0.060)",="(0.060)",="(0.064)",="(0.062)",="(0.070)",="(0.064)",="(0.073)",="(0.068)"
="L4_factor_sent1_best_filter",="-0.024",="-0.035",="-0.024",="-0.060*",="-0.038",="-0.031",="-0.042",="-0.057",="-0.075",="-0.049",="-0.073",="-0.094*",="-0.109*",="-0.105*",="-0.070",="-0.075",="-0.074",="-0.089",="-0.104",="-0.066",="-0.076"
="",="(0.023)",="(0.024)",="(0.033)",="(0.032)",="(0.042)",="(0.039)",="(0.047)",="(0.043)",="(0.051)",="(0.047)",="(0.057)",="(0.051)",="(0.061)",="(0.054)",="(0.064)",="(0.056)",="(0.069)",="(0.060)",="(0.071)",="(0.064)",="(0.074)"
="L5_factor_sent1_best_filter",="0.028",="0.057**",="0.000",="0.025",="0.066*",="0.057",="0.061",="0.043",="0.061",="0.057",="0.077",="0.073",="0.053",="0.098*",="0.105*",="0.092",="0.065",="0.028",="0.065",="0.054",="0.072"
="",="(0.025)",="(0.024)",="(0.032)",="(0.033)",="(0.039)",="(0.040)",="(0.044)",="(0.045)",="(0.048)",="(0.050)",="(0.053)",="(0.054)",="(0.057)",="(0.058)",="(0.060)",="(0.064)",="(0.063)",="(0.068)",="(0.067)",="(0.070)",="(0.072)"
="L6_factor_sent1_best_filter",="-0.008",="-0.081***",="-0.076**",="-0.054",="-0.037",="-0.048",="-0.084*",="-0.072",="-0.088*",="-0.070",="-0.082",="-0.120**",="-0.084",="-0.086",="-0.082",="-0.113*",="-0.176**",="-0.175**",="-0.206***",="-0.187**",="-0.200**"
="",="(0.026)",="(0.026)",="(0.035)",="(0.036)",="(0.043)",="(0.044)",="(0.048)",="(0.051)",="(0.052)",="(0.056)",="(0.056)",="(0.059)",="(0.061)",="(0.062)",="(0.069)",="(0.066)",="(0.073)",="(0.069)",="(0.077)",="(0.075)",="(0.080)"
="L7_factor_sent1_best_filter",="-0.033",="-0.043",="0.002",="0.008",="-0.015",="-0.008",="-0.020",="-0.049",="-0.011",="-0.038",="-0.063",="-0.044",="-0.042",="-0.075",="-0.109",="-0.115",="-0.093",="-0.065",="-0.052",="-0.075",="-0.076"
="",="(0.027)",="(0.027)",="(0.040)",="(0.038)",="(0.049)",="(0.048)",="(0.057)",="(0.053)",="(0.064)",="(0.061)",="(0.069)",="(0.065)",="(0.074)",="(0.069)",="(0.080)",="(0.074)",="(0.087)",="(0.080)",="(0.094)",="(0.084)",="(0.098)"
="L8_factor_sent1_best_filter",="-0.009",="0.044*",="0.054",="0.046",="0.035",="0.026",="0.018",="0.046",="0.005",="0.002",="0.027",="0.049",="0.038",="0.046",="0.063",="0.075",="0.101",="0.103",="0.115",="0.114",="0.069"
